Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,14104664678.5063
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,11077305329.6417
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,365177721021.516
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,5726094799.37709
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,17280250810.0321
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,16004563885.7539
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,231996704.101563
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,7894764885.82312
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,14436346979.6355
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1305211135822.61
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,394000000
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,11736797054.6965
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,7383944044.17
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,14206359017.5143
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,5542054181.12616
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,128920266409.458
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,15512758964.5779
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,75065106227.6892
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,12541928102.7657
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,125160115.547819
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,34186180699.0255
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,910194347568.626
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,9475655324.59495
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,212846907683.439
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,12699046244.607
GDP (current US$),NY.GDP.MKTP.CD,Niger,NER,12889555561.2299
GDP (current US$),NY.GDP.MKTP.CD,Nigeria,NGA,474517490844.461
GDP (current US$),NY.GDP.MKTP.CD,North Macedonia,MKD,12606338448.547
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,1181000000
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,408742840909.091
GDP (current US$),NY.GDP.MKTP.CD,Oman,OMN,88060858257.4772
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,320909472770.669
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,281828704.833984
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,69721787500
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,24751066910.5409
GDP (current US$),NY.GDP.MKTP.CD,Paraguay,PRY,37925338329.1494
GDP (current US$),NY.GDP.MKTP.CD,Peru,PER,228346006003.648
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,376823402244.928
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,596058473058.766
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,239986922638.902
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico,PRI,105126400000
GDP (current US$),NY.GDP.MKTP.CD,Qatar,QAT,176371267692.308
GDP (current US$),NY.GDP.MKTP.CD,Romania,ROU,251017797625.017
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1693115002708.32
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,10349299855.8404
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,912950466.064906
GDP (current US$),NY.GDP.MKTP.CD,San Marino,SMR,1616188702.33964
GDP (current US$),NY.GDP.MKTP.CD,Sao Tome and Principe,STP,412976064.479214
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,838564800000
GDP (current US$),NY.GDP.MKTP.CD,Senegal,SEN,23403995992.1354
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,51514242938.6734
GDP (current US$),NY.GDP.MKTP.CD,Seychelles,SYC,1868690096.73454
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,4076578698.79107
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,376901649222.451
GDP (current US$),NY.GDP.MKTP.CD,Sint Maarten (Dutch part),SXM,1407880446.92737
GDP (current US$),NY.GDP.MKTP.CD,Slovak Republic,SVK,105711680180.565
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,54386654313.9685
GDP (current US$),NY.GDP.MKTP.CD,Solomon Islands,SLB,1619155017.3924
GDP (current US$),NY.GDP.MKTP.CD,Somalia,SOM,9420431258.24747
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,389330032224.269
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,1394320055129.41
GDP (current US$),NY.GDP.MKTP.CD,Sri Lanka,LKA,89014978344.1404
GDP (current US$),NY.GDP.MKTP.CD,St. Kitts and Nevis,KNA,1107855555.55556
GDP (current US$),NY.GDP.MKTP.CD,St. Lucia,LCA,2092081549.02444
GDP (current US$),NY.GDP.MKTP.CD,St. Martin (French part),MAF,652206037.103874
GDP (current US$),NY.GDP.MKTP.CD,St. Vincent and the Grenadines,VCT,910766666.666667
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,32338079165.2893
GDP (current US$),NY.GDP.MKTP.CD,Suriname,SUR,4016040575.08796
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,533879529188.454
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,721369112726.724
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,22583045052.56
GDP (current US$),NY.GDP.MKTP.CD,Tajikistan,TJK,8300813599.3084
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,61026731925.9213
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,543976691793.886
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TLS,2027034000
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,6992700101.37188
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,512053692.078675
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,23775754304.6652
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,41905540184.424
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,761005946788.221
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,45232857142.8571
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,1177285211.72521
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,54123198.5662913
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,35348155095.4215
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,153883047509.577
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,417989721742.682
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2851407164907.81
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,21521395000000
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,62222387928.9932
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,60283503705.3907
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,936526267.622513
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,..
GDP (current US$),NY.GDP.MKTP.CD,Viet Nam,VNM,334365270496.667
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,4121000000
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,17133500000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,23308667781.2258
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,21832234925.5021
GDP (current US$),NY.GDP.MKTP.CD,Africa Eastern and Southern,AFE,1006527294483.09
GDP (current US$),NY.GDP.MKTP.CD,Africa Western and Central,AFW,823933630796.516
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,2898668715645.56
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,37621010338.3616
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,1674815945871.77
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,11767656585558.1
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific,EAS,27032494942206.6
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,17213215781553.2
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,17192020073785.4
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,13481146122147.1
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia,ECS,22908223277507.4
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,1488770219744.96
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,4159709661061.93
GDP (current US$),NY.GDP.MKTP.CD,European Union,EUU,15694050310523.1
GDP (current US$),NY.GDP.MKTP.CD,Fragile and conflict affected situations,FCS,1842154935322.18
GDP (current US$),NY.GDP.MKTP.CD,Heavily indebted poor countries (HIPC),HPC,803355942387.056
GDP (current US$),NY.GDP.MKTP.CD,High income,HIC,57218295248360.4
GDP (current US$),NY.GDP.MKTP.CD,IBRD only,IBD,31246593993598.4
GDP (current US$),NY.GDP.MKTP.CD,IDA & IBRD total,IBT,33722356189565.9
GDP (current US$),NY.GDP.MKTP.CD,IDA blend,IDB,1077750148722.68
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,1397670771530.98
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,2475420920253.66
GDP (current US$),NY.GDP.MKTP.CD,Late-demographic dividend,LTE,23050208314364
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,5659965575492.01
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean (excluding high income),LAC,4804547155275.13
GDP (current US$),NY.GDP.MKTP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,5413987316641.17
GDP (current US$),NY.GDP.MKTP.CD,Least developed countries: UN classification,LDC,1150500716964.01
GDP (current US$),NY.GDP.MKTP.CD,Low & middle income,LMY,30424528245038.4
GDP (current US$),NY.GDP.MKTP.CD,Low income,LIC,445278364305.202
GDP (current US$),NY.GDP.MKTP.CD,Lower middle income,LMC,6278114868365.95
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa,MEA,3549945029851.94
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (excluding high income),MNA,1433133665481.6
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,1416000165481.6
GDP (current US$),NY.GDP.MKTP.CD,Middle income,MIC,29978481798259.3
GDP (current US$),NY.GDP.MKTP.CD,North America,NAC,23272543648672.5
GDP (current US$),NY.GDP.MKTP.CD,Not classified,INX,..
GDP (current US$),NY.GDP.MKTP.CD,OECD members,OED,54053010452622.2
GDP (current US$),NY.GDP.MKTP.CD,Other small states,OSS,195442320173.664
GDP (current US$),NY.GDP.MKTP.CD,Pacific island small states,PSS,10729092905.3643
GDP (current US$),NY.GDP.MKTP.CD,Post-demographic dividend,PST,51018795008395.9
GDP (current US$),NY.GDP.MKTP.CD,Pre-demographic dividend,PRE,1427162956056.16
GDP (current US$),NY.GDP.MKTP.CD,Small states,SST,243792423417.39
GDP (current US$),NY.GDP.MKTP.CD,South Asia,SAS,3658209766221.57
GDP (current US$),NY.GDP.MKTP.CD,South Asia (IDA & IBRD),TSA,3658209766221.57
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa,SSF,1830460925279.6
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (excluding high income),SSA,1828592235182.87
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1830460925279.6
GDP (current US$),NY.GDP.MKTP.CD,Upper middle income,UMC,23700366929893.4
GDP (current US$),NY.GDP.MKTP.CD,World,WLD,87945574337517.8
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
